idx,matchtype,partid,ppartid
200,0,n180,n180
201,0,n182,n181
202,0,n184,n183
203,0,n183,n182
204,0,n186,n185
205,1,n186voice_overlap,undefined
206,0,n185,n184
207,0,n189,n188
208,0,n188,n187
209,0,n187,n186
210,0,n192,n191
211,0,n191,n190
212,0,n190,n189
213,0,n195,n193
214,0,n194,n194
215,0,n193,n192
216,0,n199,n196
217,1,n199voice_overlap,undefined
218,0,n198,n198
219,0,n197,n197
220,0,n196,n195
221,0,n201,n199
222,0,n200,n200
223,0,n202,n201
224,0,n204,n202
225,0,n203,n203
226,0,n206,n205
227,1,n206voice_overlap,undefined
228,0,n205,n204
229,0,n209,n207
230,0,n208,n208
231,0,n207,n206
232,0,n211,n210
233,0,n210,n209
234,0,n214,n212
235,0,n213,n213
236,0,n212,n211
237,0,n217,n215
238,1,n217voice_overlap,undefined
239,0,n216,n216
240,0,n215,n214
241,0,n219,n217
242,0,n218,n218
243,0,n220,n219
244,0,n223,n221
245,0,n222,n222
246,0,n221,n220
247,0,n226,n224
248,1,n226voice_overlap,undefined
249,0,n225,n225
250,0,n224,n223
251,0,n229,n227
252,0,n228,n228
253,0,n227,n226
254,0,n231,n230
255,0,n230,n229
256,0,n234,n231
257,0,n233,n233
258,0,n232,n232
259,0,n238,n235
260,1,n238voice_overlap,undefined
261,0,n237,n236
262,0,n236,n237
263,0,n235,n234
264,0,n241,n239
265,0,n240,n240
266,0,n239,n238
267,0,n243,n242
268,0,n242,n241
269,0,n246,n244
270,0,n245,n245
271,0,n244,n243
272,0,n249voice_overlap,n247
273,1,n249,undefined
274,0,n248,n248
275,0,n247,n246
276,0,n253,n250
277,0,n252,n251
278,0,n251,n252
279,0,n250,n249
280,0,n256,n255
281,0,n255,n254
282,0,n254,n253
283,0,n260,n257
284,0,n259,n258
285,0,n258,n259
286,0,n257,n256
287,0,n263voice_overlap,n261
288,1,n263,undefined
289,0,n262,n262
290,0,n261,n260
291,0,n265,n264
292,0,n264,n263
293,0,n266,n265
294,0,n268,n267
295,0,n267,n266
296,0,n272,n269
297,1,n272voice_overlap,undefined
298,0,n271,n271
299,0,n270,n270
300,0,n269,n268
301,0,n276,n273
302,0,n275,n275
303,0,n274,n274
304,0,n273,n272
305,0,n279,n278
306,0,n278,n277
307,0,n277,n276
308,0,n283,n280
309,0,n282,n282
310,0,n281,n281
311,0,n280,n279
312,0,n286,n284
313,1,n286voice_overlap,undefined
314,0,n285,n285
315,0,n284,n283
316,0,n289,n286
317,0,n288,n288
318,0,n287,n287
319,0,n291,n290
320,0,n290,n289
321,0,n294,n292
322,0,n293,n293
323,0,n292,n291
324,0,n298voice_overlap,n295
325,1,n298,undefined
326,0,n297,n297
327,0,n296,n296
328,0,n295,n294
329,0,n301,n299
330,0,n300,n300
331,0,n299,n298
332,0,n304,n303
333,0,n303,n302
334,0,n302,n301
335,0,n308,n306
336,0,n307,n305
337,0,n306,n307
338,0,n305,n304
339,0,n311,n308
340,1,n311voice_overlap,undefined
341,0,n310,n310
342,0,n309,n309
343,0,n314,n312
344,0,n313,n313
345,0,n312,n311
346,0,n316,n315
347,0,n315,n314
348,0,n319,n317
349,0,n318,n318
350,0,n317,n316
351,0,n326,n323
352,0,n325,n324
353,0,n324,n325
354,0,n323,n320
355,0,n321,n322
356,0,n322,n321
357,0,n320,n319
358,0,n333,n331
359,0,n332,n330
360,0,n331,n329
361,0,n330,n327
362,0,n329,n328
363,0,n328,n332
364,0,n327,n326
365,0,n340,n336
366,0,n339,n338
367,0,n338,n337
368,0,n337,n333
369,0,n336,n335
370,0,n335,n339
371,0,n334,n334
372,0,n347,n342
373,0,n346,n346
374,0,n345,n345
375,0,n344,n340
376,0,n343,n343
377,0,n342,n344
378,0,n341,n341
379,0,n354,n352
380,0,n353,n353
381,0,n352,n349
382,0,n351,n348
383,0,n349,n350
384,0,n350,n351
385,0,n348,n347
386,0,n361,n356
387,0,n360,n357
388,1,n359,undefined
389,0,n358,n355
390,0,n357,n358
391,1,n356,undefined
392,0,n355,n354
393,0,n366,n362
394,0,n368,n365
395,0,n367,n363
396,0,n365,n360
397,0,n364,n361
398,0,n363,n364
399,0,n362,n359
400,0,n375,n371
401,0,n374,n372
402,0,n373,n370
403,0,n372,n366
404,0,n371,n368
405,0,n370,n369
406,0,n369,n367
407,0,n382,n376
408,0,n381,n379
409,0,n380,n377
410,0,n379,n375
411,0,n378,n374
412,0,n377,n378
